Year,Month,Day,DayName,midday,evening 
2022,6,4,Saturday,3636,3266
2022,6,5,Sunday,9991,8236
2022,6,6,Monday,5638,1110
2022,6,7,Tuesday,4748,8140
2022,6,8,Wednesday,7591,2915
2022,6,9,Thursday,8280,5778
2022,6,10,Friday,3933,6554
2022,6,11,Saturday,3966,7509
2022,6,12,Sunday,1505,4404
2022,6,13,Monday,2876,8104
2022,6,14,Tuesday,0354,8919
2022,6,15,Wednesday,8418,0164
2022,6,16,Thursday,4144,2447
2022,6,17,Friday,6268,1496
2022,6,18,Saturday,6969,3432
2022,6,19,Sunday,6016,6694
2022,6,20,Monday,3868,1877
2022,6,21,Tuesday,9772,2309
2022,6,22,Wednesday,8264,7118
2022,6,23,Thursday,8371,3226
2022,6,24,Friday,9568,5758
2022,6,25,Saturday,5836,1087
2022,6,26,Sunday,3818,6382
2022,6,27,Monday,0533,3780
2022,6,28,Tuesday,2965,0915
2022,6,29,Wednesday,0892,7776
2022,6,30,Thursday,1906,3193
2022,7,1,Friday,5396,6587
2022,7,2,Saturday,2226,0662
2022,7,3,Sunday,9104,3771
2022,7,4,Monday,9970,5404
2022,7,5,Tuesday,8850,2224
2022,7,6,Wednesday,4211,1346
2022,7,7,Thursday,6719,2068
2022,7,8,Friday,9820,1154
2022,7,9,Saturday,0043,9288
2022,7,10,Sunday,2340,6756
2022,7,11,Monday,1909,9531
2022,7,12,Tuesday,5154,9266
2022,7,13,Wednesday,8268,8009
2022,7,14,Thursday,9828,4118
2022,7,15,Friday,2502,3320
2022,7,16,Saturday,8828,4245
2022,7,17,Sunday,6616,3435
2022,7,18,Monday,4954,0096
2022,7,19,Tuesday,4709,0647
2022,7,20,Wednesday,5752,1713
2022,7,21,Thursday,1623,3244
2022,7,22,Friday,2250,6351
2022,7,23,Saturday,6175,2149
2022,7,24,Sunday,6515,8356
2022,7,25,Monday,0559,4136
2022,7,26,Tuesday,6525,9098
2022,7,27,Wednesday,8144,1450
2022,7,28,Thursday,6008,7274
2022,7,29,Friday,9407,5822
2022,7,30,Saturday,5945,2970
2022,7,31,Sunday,0684,9034
2022,8,1,Monday,0708,1921
2022,8,2,Tuesday,5000,2306
2022,8,3,Wednesday,7438,0250
2022,8,4,Thursday,1252,2621
2022,8,5,Friday,6243,4366
2022,8,6,Saturday,7583,4946
2022,8,7,Sunday,2409,9594
2022,8,8,Monday,8663,6719
2022,8,9,Tuesday,1545,3639
2022,8,10,Wednesday,7617,7486
2022,8,11,Thursday,9534,4055
2022,8,12,Friday,6733,9970
2022,8,13,Saturday,5263,0094
2022,8,14,Sunday,3331,6414
2022,8,15,Monday,1487,2751
2022,8,16,Tuesday,5407,1316
2022,8,17,Wednesday,3585,1884
2022,8,18,Thursday,0288,9444
2022,8,19,Friday,7635,1456
2022,8,20,Saturday,8715,7297
2022,8,21,Sunday,3370,0158
2022,8,22,Monday,2840,5849
2022,8,23,Tuesday,2927,3298
2022,8,24,Wednesday,8243,4312
2022,8,25,Thursday,1879,8757
2022,8,26,Friday,6359,8111
2022,8,27,Saturday,7151,5525
2022,8,28,Sunday,5404,6588
2022,8,29,Monday,8174,9306
2022,8,30,Tuesday,0856,7941
2022,8,31,Wednesday,2225,4236
2022,9,1,Thursday,5200,9154
2022,9,2,Friday,2631,6124
2022,9,3,Saturday,4117,5344
2022,9,4,Sunday,4863,7162
2022,9,5,Monday,5189,2622
2022,9,6,Tuesday,8595,3319
2022,9,7,Wednesday,7417,8663
2022,9,8,Thursday,8540,2635
2022,9,9,Friday,9536,2752
2022,9,10,Saturday,7797,8311
2022,9,11,Sunday,9863,9484
2022,9,12,Monday,2373,2442
2022,9,13,Tuesday,6708,7232
2022,9,14,Wednesday,5431,4249
